"Variable","Predictions","Observations","Study"
"ATP",0.001904644943467,0.001904644943467,"Nannipieri et al. (1977)"
"ATP",0.00296149839975911,0.002467990630971,"Nannipieri et al. (1977)"
"ATP",0.0039112504472026,0.007618579773867,"Nannipieri et al. (1977)"
"ATP",0.00598974736593553,0.011776607467351,"Nannipieri et al. (1977)"
"ATP",0.00723240870071266,0.020790138467419,"Nannipieri et al. (1977)"
"ATP",0.0121479480151434,0.019743925047768,"Nannipieri et al. (1977)"
"ATP",0.016481134455322,0.015988287131073,"Nannipieri et al. (1977)"
"ATP",0.0258242641308541,0.010837697988177,"Nannipieri et al. (1977)"
"ATP",0.001958296913705,0.001958296913705,"Nannipieri et al. (1977)"
"ATP",0.00304476402947389,0.002628946541687,"Nannipieri et al. (1977)"
"ATP",0.00402074184969458,0.005499326949446,"Nannipieri et al. (1977)"
"ATP",0.00615470083161835,0.015773679250119,"Nannipieri et al. (1977)"
"ATP",0.00742893734171673,0.014968899696542,"Nannipieri et al. (1977)"
"ATP",0.0124537025590454,0.013198384678671,"Nannipieri et al. (1977)"
"ATP",0.0168534430126891,0.010837697988177,"Nannipieri et al. (1977)"
"ATP",0.0261242378286349,0.007538101818509,"Nannipieri et al. (1977)"
"ATP",0.002307034720256,0.002307034720256,"Nannipieri et al. (1977)"
"ATP",0.00317122686401416,0.002119252824421,"Nannipieri et al. (1977)"
"ATP",0.00389641057722509,0.00643823642862,"Nannipieri et al. (1977)"
"ATP",0.0053016507789701,0.009228138881022,"Nannipieri et al. (1977)"
"ATP",0.00604711089135997,0.011427869660801,"Nannipieri et al. (1977)"
"ATP",0.00852852199555679,0.008986705014949,"Nannipieri et al. (1977)"
"ATP",0.0102881981884951,NA,"Nannipieri et al. (1977)"
"ATP",0.0133542690179586,0.007108886056601,"Nannipieri et al. (1977)"
"CO2",0,0,"Tsai et al. (1997)"
"CO2",5.13980739812337,3.74073177577365,"Tsai et al. (1997)"
"CO2",7.96230064066092,5.45508385675496,"Tsai et al. (1997)"
"CO2",13.0287233433279,7.17019374614867,"Tsai et al. (1997)"
"CO2",22.0162665306538,10.132277378168,"Tsai et al. (1997)"
"CO2",43.2149472695096,52.0303677878641,"Tsai et al. (1997)"
"CO2",46.4259211672072,77.1073848672288,"Tsai et al. (1997)"
"CO2",74.7837547090754,83.6525761252399,"Tsai et al. (1997)"
"CO2",96.2801164410715,87.8652330898438,"Tsai et al. (1997)"
"CO2",101.615042537767,89.8942651140796,"Tsai et al. (1997)"
"CO2",108.226157660238,91.6116484287105,"Tsai et al. (1997)"
"CO2",113.381104511411,94.4233070908658,"Tsai et al. (1997)"
"CO2",115.932113263803,98.8002190288602,"Tsai et al. (1997)"
"CO2",116.27060977254,103.801186194477,"Tsai et al. (1997)"
"CO2",116.479701056511,106.932261102464,"Tsai et al. (1997)"
"CO2",116.688219846297,109.28544567511,"Tsai et al. (1997)"
"CO2",116.896287320935,111.638630247755,"Tsai et al. (1997)"
"CO2",117.103911906103,113.213735032955,"Tsai et al. (1997)"
"CO2",0,0,"Tsai et al. (1997)"
"CO2",4.08368366280972,4.05143322486299,"Tsai et al. (1997)"
"CO2",6.12032474729534,6.85702941971901,"Tsai et al. (1997)"
"CO2",9.60441907200327,7.48165300365042,"Tsai et al. (1997)"
"CO2",15.3963050075665,9.97692665362334,"Tsai et al. (1997)"
"CO2",27.5760005777691,30.2293564753607,"Tsai et al. (1997)"
"CO2",29.2663957840133,34.9059816404644,"Tsai et al. (1997)"
"CO2",42.7779934222168,36.9340664041847,"Tsai et al. (1997)"
"CO2",51.8177015812773,39.9012652429878,"Tsai et al. (1997)"
"CO2",54.0144070435952,40.9959194947184,"Tsai et al. (1997)"
"CO2",56.816286044748,41.9342757613888,"Tsai et al. (1997)"
"CO2",59.2259910990269,43.5002868456403,"Tsai et al. (1997)"
"CO2",60.7513420292376,46.6315512057308,"Tsai et al. (1997)"
"CO2",61.0443860317743,48.9851146825824,"Tsai et al. (1997)"
"CO2",61.1944904470714,50.714622931812,"Tsai et al. (1997)"
"CO2",61.3436211647543,52.2893488128062,"Tsai et al. (1997)"
"CO2",61.4923418044736,53.8642641459035,"Tsai et al. (1997)"
"CO2",61.6407329696283,54.971611688542,"Tsai et al. (1997)"
"Flush",12.9858725977274,12.9858725977274,"Tsai et al. (1997)"
"Flush",18.093367894897,NA,"Tsai et al. (1997)"
"Flush",19.8241523062183,NA,"Tsai et al. (1997)"
"Flush",22.2433720014827,NA,"Tsai et al. (1997)"
"Flush",25.3823952013422,NA,"Tsai et al. (1997)"
"Flush",29.8466948137673,NA,"Tsai et al. (1997)"
"Flush",30.267904401641,26.3560289590225,"Tsai et al. (1997)"
"Flush",31.4062752046047,29.321499740411,"Tsai et al. (1997)"
"Flush",28.9341179071323,32.7028725697113,"Tsai et al. (1997)"
"Flush",27.8037450900023,NA,"Tsai et al. (1997)"
